id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,under_pressure,carry.end_location,dribble.outcome.id,dribble.outcome.name,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,block.deflection,pass.assisted_shot_id,pass.shot_assist,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,block.offensive,pass.cross,duel.type.id,duel.type.name,shot.aerial_won,counterpress,interception.outcome.id,interception.outcome.name,duel.outcome.id,duel.outcome.name,dribble.overrun,pass.aerial_won,ball_recovery.recovery_failure,injury_stoppage.in_chain,dribble.nutmeg,shot.first_time,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.outcome.id,goalkeeper.outcome.name,pass.switch,pass.backheel,50_50.outcome.id,50_50.outcome.name,foul_committed.card.id,foul_committed.card.name,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,clearance.aerial_won,pass.deflected,pass.cut_back,shot.one_on_one,bad_behaviour.card.id,bad_behaviour.card.name,pass.goal_assist
cd1f6d6f-8936-4e0c-8399-cc715ae078c7,22,1,00:00:08.293,0,8,2,0.387,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['2daeb1e7-d92e-4e0b-902b-f029f1c03f19', '53f8689e-44d0-40b1-8580-db72596246c7']","[66.0, 48.0]",4965.0,Nikki Stanton,10.0,Center Defensive Midfield,4957.0,Lauren Kaskie,8.062258,-1.6951513,1.0,Ground Pass,"[65.0, 40.0]",40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53f8689e-44d0-40b1-8580-db72596246c7,23,1,00:00:08.680,0,8,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['cd1f6d6f-8936-4e0c-8399-cc715ae078c7'],"[63.0, 40.0]",4957.0,Lauren Kaskie,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2daeb1e7-d92e-4e0b-902b-f029f1c03f19,24,1,00:00:08.680,0,8,2,,6,Block,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,['cd1f6d6f-8936-4e0c-8399-cc715ae078c7'],"[56.0, 38.0]",5088.0,Crystal Alyssia Dunn Soubrier,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f47b5f15-ba3d-4bc1-a780-0ba94f17d1b1,25,1,00:00:10.493,0,10,2,2.04,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['2fd9db13-9a5e-4458-b907-c9e583de8738'],"[59.0, 37.0]",4957.0,Lauren Kaskie,13.0,Right Center Midfield,5105.0,Sofia Huerta,37.576588,-1.1309538,1.0,Ground Pass,"[75.0, 3.0]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fd9db13-9a5e-4458-b907-c9e583de8738,26,1,00:00:12.533,0,12,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['f47b5f15-ba3d-4bc1-a780-0ba94f17d1b1'],"[75.0, 3.0]",5105.0,Sofia Huerta,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02cf1071-008d-4431-bcaa-4b2b3eee5b31,27,1,00:00:12.533,0,12,2,3.92,43,Carry,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['2fd9db13-9a5e-4458-b907-c9e583de8738', '7731eca7-1390-404f-bd28-40328849f07b']","[75.0, 3.0]",5105.0,Sofia Huerta,6.0,Left Back,,,,,,,,,,,,,"[89.0, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7731eca7-1390-404f-bd28-40328849f07b,28,1,00:00:16.453,0,16,2,0.827,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['ae4b8e5d-660c-4c90-9d06-ad4c8c369f04', 'cb457eb0-4ad5-4d8f-a776-ef33aaaf1967']","[89.0, 4.0]",5105.0,Sofia Huerta,6.0,Left Back,4961.0,Samantha May Kerr,25.0,0.9272952,3.0,High Pass,"[104.0, 24.0]",38.0,Left Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb457eb0-4ad5-4d8f-a776-ef33aaaf1967,29,1,00:00:17.280,0,17,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['7731eca7-1390-404f-bd28-40328849f07b'],"[106.0, 34.0]",4961.0,Samantha May Kerr,17.0,Right Wing,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae4b8e5d-660c-4c90-9d06-ad4c8c369f04,30,1,00:00:17.280,0,17,2,,9,Clearance,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,['7731eca7-1390-404f-bd28-40328849f07b'],"[17.0, 57.0]",5081.0,Abby Dahlkemper,3.0,Right Center Back,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85d63672-4047-44f6-ab1d-ae3ec6eb805f,31,1,00:00:19.720,0,19,2,,9,Clearance,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,,"[15.0, 45.0]",5037.0,Abby Erceg,5.0,Left Center Back,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
